employee_id,name,age,gender,marital_status,ethnicity,country,job_role_id,department_id,hire_date,salary
85,Robert Hill,22,Male,Other,Black,Nigeria,15,3,2018-06-16,53830.13
86,Jessica Cline,25,Female,Prefer not to say,Asian,Australia,18,3,2024-03-17,59964.86
87,Kelli Stephens,55,Female,Divorced,White,United Kingdom,44,7,2022-02-14,88308.04
88,Catherine Combs,58,Female,Divorced,White,United Kingdom,12,2,2018-11-18,76575.02
89,Kristina Mcdonald,41,Female,Separated,Native American,Japan,23,4,2018-11-03,59404.8
90,Richard Kim,57,Male,Married,Asian,United States,25,4,2018-05-02,80265.35
91,Melissa King,54,Female,Prefer not to say,Native American,France,1,1,2021-02-28,71941.55
92,Vernon Gutierrez,48,Male,Single,Mixed,Singapore,24,4,2017-01-22,89372.9
93,Emily Torres,41,Female,Other,Other,United Kingdom,40,7,2020-01-18,55958.94
94,Kimberly Welch,40,Female,Other,Hispanic,Australia,33,6,2018-03-22,63446.76
95,Angela Williams,39,Female,Widowed,Black,Canada,45,7,2024-11-12,62157.84
96,Jessica Moreno,45,Female,Other,Mixed,Singapore,43,7,2021-09-06,40729.7
97,Patrick Reid,57,Male,Divorced,Hispanic,Japan,40,7,2016-12-17,75922.41
98,David Kane,39,Male,Married,Hispanic,South Korea,20,4,2018-10-16,75221.11
99,Sarah Wilcox,49,Female,Separated,Mixed,Canada,30,5,2019-03-10,70102.27
100,Cassandra Andrews,31,Female,Other,White,Germany,51,8,2020-06-25,65308.26
101,Jessica Gray,36,Female,Other,Asian,Canada,6,2,2020-07-21,41692.59
102,Maxwell Cook,22,Male,Single,Black,Brazil,10,2,2019-12-11,61587.09
103,Derek Johnson,47,Male,Other,Native American,Canada,30,5,2021-08-09,63145.71
104,Jennifer Johnson,46,Female,Married,Black,France,32,5,2016-12-20,53954.45
105,Garrett Jacobs,27,Male,Prefer not to say,Hispanic,Canada,49,8,2019-03-23,66774.29
106,Garrett Harris,54,Male,Separated,White,Japan,45,7,2024-02-18,78081.02
107,Richard Ray,50,Male,Married,Other,Brazil,8,2,2016-04-04,107723.72
108,Gabriella Thompson,49,Female,Widowed,Other,Italy,49,8,2019-02-02,73491.56
109,Jacqueline Winters,49,Female,Married,Mixed,New Zealand,36,6,2020-12-31,75151.01
110,Alexis Vincent,37,Female,Prefer not to say,Black,New Zealand,29,5,2022-01-14,68511.08
111,Maria Cooper,54,Female,Separated,Mixed,Canada,50,8,2023-09-20,31624.58
112,Sheila Heath,25,Female,Other,Asian,Canada,29,5,2022-06-01,69469.72
113,Lisa Lambert,41,Female,Widowed,White,India,22,4,2022-02-18,71204.6
114,David Wall,45,Male,Other,Black,Italy,15,3,2023-06-12,119264.84
115,Anthony Franklin,47,Male,Separated,Asian,Japan,5,1,2019-07-21,66152.78
116,Kathleen Carter,24,Female,Married,Other,Nigeria,27,5,2023-12-06,76030.95
117,Amanda Davidson,58,Female,Other,White,New Zealand,50,8,2022-09-24,69305.76
118,Mariah Butler,21,Female,Divorced,Asian,South Korea,31,5,2019-10-21,46626.44
119,Jessica Reyes,55,Female,Other,Mixed,Japan,27,5,2022-07-06,92856.46
120,Randy Green,35,Male,Divorced,Hispanic,Brazil,32,5,2022-11-24,85038.66
121,Christopher Wallace,42,Male,Other,Mixed,South Korea,25,4,2022-11-27,85820.64
122,Laurie Nguyen,31,Female,Prefer not to say,Hispanic,Singapore,47,8,2022-02-04,51812.25
123,Jonathan Lawrence,55,Male,Single,Hispanic,Spain,40,7,2020-11-21,98055.89
124,Todd Williamson,48,Male,Married,Other,Brazil,6,2,2021-01-07,41962.98
125,Bryan Duncan,37,Male,Separated,Asian,Canada,4,1,2023-12-28,81737.14
126,Emily Medina,42,Female,Prefer not to say,Hispanic,Germany,21,4,2023-07-13,113809.11
127,Elizabeth Gonzalez,26,Female,Separated,White,Italy,17,3,2016-01-31,50189.27
128,Geoffrey Hunt,35,Male,Other,White,South Korea,23,4,2025-01-20,58674.05
129,Samuel Hernandez,22,Male,Married,Black,New Zealand,49,8,2021-04-28,71993.03
130,Richard Peterson,30,Male,Married,Black,Brazil,40,7,2017-08-05,59930.49
131,Stanley Johnson,34,Male,Separated,Mixed,Germany,37,6,2020-04-29,38986.73
132,Heather Salazar,59,Female,Widowed,Mixed,Italy,11,2,2024-11-19,71371.26
133,Martin Wyatt,31,Male,Divorced,White,Spain,50,8,2020-01-14,48753.93
134,Mark Kennedy,57,Male,Other,Hispanic,Nigeria,20,4,2022-09-10,79471.85
135,Edwin Villa,58,Male,Other,Other,France,5,1,2017-08-06,51611.52
136,Thomas Santana,40,Male,Prefer not to say,Mixed,Spain,7,2,2016-06-21,100998.69
137,David Hopkins,57,Male,Prefer not to say,White,Australia,51,8,2021-10-07,54334.93
138,Alicia Jones,44,Female,Single,Native American,France,43,7,2018-07-17,63558.77
139,Marilyn Meyers,47,Female,Prefer not to say,Hispanic,United Kingdom,1,1,2017-12-04,86270.34
140,Paula Moore,50,Female,Other,Black,Nigeria,24,4,2018-03-20,45382.71
141,Charles Dixon,54,Male,Other,Asian,Spain,47,8,2021-12-18,74549.2
142,Donna Perry,48,Female,Prefer not to say,Mixed,Spain,30,5,2025-02-13,96142.86
143,Desiree Diaz,36,Female,Prefer not to say,White,Germany,21,4,2020-04-18,37850.34
144,Ariana Rice,50,Female,Widowed,Native American,France,16,3,2019-04-12,73692.68
145,Elizabeth Perkins,22,Female,Separated,Other,Australia,22,4,2020-02-27,75197.66
146,Jason Huffman,34,Male,Divorced,Other,Germany,32,5,2017-09-27,85636.46
147,Stephanie Grimes,59,Female,Other,Asian,Japan,18,3,2019-11-18,45260.99
148,Troy Short,33,Male,Single,Black,Italy,34,6,2024-05-19,43590.87
149,Linda Kirby,56,Female,Prefer not to say,Black,Italy,32,5,2017-10-01,80438.83
150,Cheyenne Roberts,52,Female,Separated,Other,United States,42,7,2023-01-03,75939.69
151,William Williams,35,Male,Separated,Mixed,Canada,19,4,2017-01-30,75009.86
152,Maria Shepherd,58,Female,Divorced,Hispanic,Japan,43,7,2025-02-17,76928.96
153,Rachel Ewing,56,Female,Divorced,Asian,Italy,28,5,2016-03-01,56399.51
154,Mary Smith,40,Female,Divorced,Black,United Kingdom,18,3,2017-05-27,74645.07
155,Donald Harris,28,Male,Other,Native American,South Korea,21,4,2025-01-26,75861.45
156,Matthew Duncan,34,Male,Other,Hispanic,Germany,13,3,2018-09-21,55712.97
157,Kimberly Ponce,33,Female,Divorced,Black,Australia,7,2,2016-01-25,107315.49
158,Adam Scott,21,Male,Other,Native American,India,20,4,2018-10-13,79476.66
159,Dominique Pruitt,24,Female,Widowed,Asian,Italy,3,1,2022-07-27,46173.93
160,Bryan Brown,52,Male,Single,Other,United States,41,7,2019-04-08,83131.07
161,Nancy Smith,51,Female,Separated,Asian,India,31,5,2021-11-06,50506.37
162,Douglas Rivera,51,Male,Single,Other,United Kingdom,17,3,2020-10-22,85741.69
163,Debra Hill,25,Female,Widowed,Mixed,France,32,5,2020-05-08,93171.91
164,David Webb,30,Male,Prefer not to say,Native American,Germany,10,2,2018-04-11,53586.35
165,Michael Harris,28,Male,Widowed,Other,Nigeria,16,3,2017-06-08,89267.52
166,Blake Santos,54,Male,Separated,Hispanic,Singapore,50,8,2024-08-13,78255.62
167,Amanda Hall,58,Female,Separated,Asian,Spain,20,4,2022-06-15,86441.2
168,David Scott,27,Male,Prefer not to say,Black,France,40,7,2023-03-15,107935.86
169,Nathan Bates,26,Male,Married,Black,India,17,3,2016-05-09,65092.24
170,Victor Green,21,Male,Separated,Hispanic,Italy,11,2,2021-11-26,54925.28
171,Nancy Ross,23,Female,Married,Asian,Italy,19,4,2019-05-04,52209.71
172,Jacqueline Smith,50,Female,Single,Mixed,Canada,45,7,2018-06-01,53683.79
173,Kathleen Mills,58,Female,Other,Other,Singapore,51,8,2023-01-09,68457.97
174,Anthony Frazier,28,Male,Widowed,Black,France,28,5,2017-08-25,76823.04
175,Christopher Butler,30,Male,Single,White,India,18,3,2019-12-05,75533.82
176,Theresa Lang,57,Female,Divorced,Hispanic,United Kingdom,39,6,2020-07-06,86543.66
177,Amber Jones,40,Female,Other,Hispanic,Germany,45,7,2019-01-14,70260.04
178,Erin Williams,26,Female,Widowed,White,Singapore,29,5,2020-09-12,99070.68
179,Anna Russo,41,Female,Widowed,Asian,United States,48,8,2024-04-27,64706.86
180,Travis Smith,57,Male,Widowed,White,South Korea,15,3,2017-12-07,124403.38
181,Tammy Conway,23,Female,Prefer not to say,Other,India,37,6,2021-11-21,82513.35
182,Janet Villarreal,49,Female,Divorced,Black,Spain,34,6,2015-12-04,52856.85
183,Christina Mendez,52,Female,Single,Hispanic,Australia,41,7,2019-09-05,48582.15
184,Pamela James,41,Female,Other,White,New Zealand,22,4,2016-09-18,79649.45
185,James Mcgrath,47,Male,Other,Hispanic,Germany,22,4,2020-04-22,65530.74
186,Carol Jones,56,Female,Single,Hispanic,United Kingdom,49,8,2025-07-03,84280.01
187,Jessica Jones,41,Female,Single,Other,Nigeria,17,3,2025-01-03,79464.75
188,John Zimmerman,55,Male,Separated,Hispanic,United States,43,7,2016-08-27,68543.42
189,Michael Davis,44,Male,Widowed,Other,Brazil,34,6,2023-08-23,53064.13
190,Mackenzie Chase,24,Female,Married,Asian,Japan,49,8,2023-09-18,39703.06
191,Wesley Chambers,49,Male,Other,Hispanic,United Kingdom,19,4,2016-12-29,61069.7
192,George Smith,59,Male,Prefer not to say,Black,Italy,41,7,2022-03-19,87127.98
193,Thomas Hutchinson,56,Male,Single,Native American,Nigeria,20,4,2022-04-12,74281.87
194,Stephen Pacheco,28,Male,Separated,White,France,15,3,2017-01-27,45085.22
195,Ryan Armstrong,39,Male,Widowed,Mixed,Germany,32,5,2018-01-15,73463.62
196,Jeanette Potts,51,Female,Married,Hispanic,Japan,31,5,2018-02-03,77706.35
197,Eric Davis,33,Male,Widowed,Native American,Italy,25,4,2024-11-30,52322.85
198,James Flynn,38,Male,Prefer not to say,Other,New Zealand,5,1,2023-01-19,73074.5
199,Lauren Peterson,53,Female,Divorced,Other,United States,22,4,2019-03-12,71164.17
200,Elizabeth Mendoza,40,Female,Prefer not to say,Native American,Spain,47,8,2019-07-20,47140.59
201,Stephanie Johnson,49,Female,Widowed,Hispanic,Australia,10,2,2024-06-07,77155.75
202,Jessica Rasmussen,55,Female,Separated,Hispanic,Singapore,36,6,2021-02-04,81215.69
203,Karen Leblanc,36,Female,Widowed,Hispanic,Canada,13,3,2019-08-27,91661.02
204,Kimberly Mason,41,Female,Other,Hispanic,Italy,3,1,2024-12-14,91076.04
205,Tara Cook,30,Female,Separated,White,India,25,4,2021-03-29,42446.61
206,Barbara Espinoza,49,Female,Single,Native American,Singapore,7,2,2016-02-05,51243.5
207,Dana Hill,30,Female,Separated,Other,France,1,1,2018-10-22,80300.71
208,John Jackson,51,Male,Prefer not to say,Asian,Australia,5,1,2023-02-15,80275.72
209,Jacqueline Guerrero,26,Female,Prefer not to say,Asian,New Zealand,42,7,2016-01-25,80300.95
210,Diana Gonzales,52,Female,Prefer not to say,Native American,United States,21,4,2020-06-14,147054.63
211,Lance Henry,39,Male,Married,Mixed,United Kingdom,16,3,2023-01-26,81417.81
212,Michelle Turner,27,Female,Separated,Black,Italy,7,2,2025-04-07,92711.31
213,Peggy Brown,23,Female,Divorced,Other,United States,2,1,2022-06-28,89080.04
214,Kathryn Carter,44,Female,Separated,Black,Canada,23,4,2019-04-30,83027.83
215,Janet Rush,32,Female,Married,Black,United Kingdom,37,6,2020-09-21,63694.62
216,Linda Wallace,36,Female,Separated,Native American,India,40,7,2017-12-15,85179.38
217,Ricky Gomez,37,Male,Separated,Asian,France,30,5,2021-02-10,54543.5
218,Brian Johnson,39,Male,Other,Native American,India,30,5,2020-07-14,65263.63
219,James Thompson,43,Male,Widowed,Asian,France,29,5,2022-10-22,60292.73
220,Anna Cox,37,Female,Separated,Other,Germany,45,7,2020-02-19,71637.48
221,Nicholas Roberts,51,Male,Single,Black,Nigeria,25,4,2021-01-29,116293.17
222,Melissa Gray,39,Female,Other,Asian,United States,37,6,2017-08-03,32654.7
223,Madeline Campbell,21,Female,Widowed,Other,France,18,3,2020-06-29,83725.2
224,Scott Powers,52,Male,Prefer not to say,Asian,South Korea,39,6,2025-05-18,37745.68
225,Eugene Thomas,43,Male,Married,Mixed,Canada,39,6,2017-04-17,60561.36
226,Lauren Brown,29,Female,Other,White,Singapore,44,7,2025-05-26,91779.01
227,George Collins,49,Male,Single,Native American,Australia,20,4,2022-12-13,71285.6
228,Trevor Griffith,39,Male,Divorced,Mixed,Nigeria,6,2,2020-01-23,48445.1
229,Thomas Garza,29,Male,Prefer not to say,Native American,Singapore,13,3,2024-10-09,55693.93
230,Mary Wall,53,Female,Divorced,Other,India,34,6,2017-11-14,83591.95
231,Nicole Cobb,39,Female,Other,Other,Australia,31,5,2016-01-23,55392.67
232,Casey Oliver,25,Male,Married,Other,Canada,30,5,2025-06-16,74329.17
233,Pamela Dixon,44,Female,Single,Other,Nigeria,36,6,2022-04-17,70911.44
234,Christopher Torres,55,Male,Single,Hispanic,Australia,17,3,2017-09-29,56967.99
235,Tamara Patterson,45,Female,Prefer not to say,Mixed,Australia,38,6,2022-05-14,112878.88
236,Adam Taylor,35,Male,Separated,White,Spain,44,7,2024-12-16,82678.38
237,Tammy Brooks,35,Female,Other,White,France,40,7,2016-01-02,30000.0
238,Theresa Austin,40,Female,Other,Hispanic,United Kingdom,45,7,2017-02-08,73729.09
239,Tony Mendez,23,Male,Divorced,Hispanic,United Kingdom,3,1,2015-08-28,56764.27
240,George Wilson,55,Male,Married,Hispanic,Brazil,16,3,2024-08-10,87048.67
241,Tara Morris,55,Female,Separated,Native American,Italy,43,7,2019-03-30,54149.59
242,Christopher Simmons,27,Male,Prefer not to say,Hispanic,Spain,27,5,2024-07-23,67705.27
243,Abigail Strickland,23,Female,Other,Asian,Canada,18,3,2017-10-17,80099.75
244,Laura Baxter,36,Female,Prefer not to say,Asian,United Kingdom,29,5,2016-04-02,87315.1
245,Pamela Jenkins,43,Female,Single,Hispanic,Germany,35,6,2021-05-09,45994.07
246,Andrew Harris,50,Male,Single,Mixed,Canada,8,2,2025-06-15,63309.98
247,Ray Wood,42,Male,Married,Black,South Korea,4,1,2023-12-17,60501.09
248,Daniel Dunn,56,Male,Married,Native American,Canada,5,1,2019-05-11,56933.42
249,Daniel Garcia,30,Male,Prefer not to say,Native American,United States,22,4,2022-12-13,105309.08
250,Ashley Parks,29,Female,Widowed,Asian,South Korea,10,2,2025-03-29,78099.63
251,Thomas Nichols,22,Male,Married,White,Australia,8,2,2024-11-07,44782.32
252,James Harris,41,Male,Single,Black,Germany,38,6,2018-02-20,88357.24
253,Nicholas Jordan,47,Male,Widowed,White,Italy,9,2,2018-06-04,112443.12
254,Christopher Lawrence,49,Male,Prefer not to say,Asian,Japan,31,5,2023-12-11,90649.31
255,Steven Miller,53,Male,Married,Native American,United States,29,5,2023-11-29,39612.6
256,Jamie Burton,22,Female,Single,Hispanic,New Zealand,30,5,2023-06-26,60315.32
257,Nicole Young,27,Female,Separated,Mixed,Singapore,28,5,2019-07-11,95338.22
258,Dana Henry,26,Female,Divorced,Native American,India,5,1,2016-12-20,55846.61
259,Joshua Martin,38,Male,Widowed,Mixed,Spain,9,2,2021-07-11,78876.39
260,Ashley Bowman,59,Female,Widowed,Asian,Brazil,25,4,2017-12-03,85492.68
261,Jennifer Mclean,28,Female,Prefer not to say,Mixed,France,7,2,2020-12-11,51461.39
262,Vernon Morgan,49,Male,Married,Hispanic,Australia,28,5,2015-09-21,68809.49
263,Stephanie May,47,Female,Other,White,Australia,26,5,2025-06-18,30000.0
264,Kerri Vasquez,37,Female,Divorced,Black,France,21,4,2018-11-05,49512.25
265,Julia Heath,26,Female,Prefer not to say,White,United Kingdom,5,1,2023-12-21,64948.64
266,Margaret Moreno,44,Female,Prefer not to say,Black,Japan,7,2,2019-01-11,45044.34
267,Brent Reynolds,56,Male,Widowed,Asian,France,38,6,2017-10-17,102648.23
268,Dennis Parrish,43,Male,Prefer not to say,Mixed,South Korea,27,5,2017-09-27,41397.17
269,Jennifer Ramsey,24,Female,Divorced,Native American,Germany,47,8,2018-11-30,61199.11
270,Yesenia Phillips,57,Female,Widowed,Black,India,7,2,2024-09-04,72614.81
271,Karen Mccullough,27,Female,Divorced,Other,Japan,15,3,2016-08-02,98825.47
272,Amber Maxwell,38,Female,Widowed,Black,South Korea,8,2,2021-10-28,41282.76
273,Shirley Tapia,60,Female,Widowed,Mixed,France,36,6,2020-05-14,93263.28
274,Ryan James,38,Male,Single,Black,Germany,39,6,2021-04-28,70204.66
275,Suzanne Aguilar,43,Female,Single,Black,New Zealand,22,4,2018-04-13,50369.83
276,Andrew Olson,46,Male,Single,Black,Italy,37,6,2023-06-24,79242.07
277,Michael Warren,54,Male,Married,Hispanic,Nigeria,6,2,2016-05-05,73981.19
278,Carrie Landry,31,Female,Divorced,Asian,Italy,22,4,2022-11-21,57995.66
279,Lori Collins,57,Female,Widowed,White,Singapore,50,8,2019-07-04,71396.04
280,John Russo,31,Male,Prefer not to say,Native American,United States,10,2,2020-01-02,62293.73
281,Corey Rogers,49,Male,Other,Hispanic,Brazil,18,3,2020-09-06,72270.35
282,Jamie Wilson,38,Female,Married,Other,Japan,27,5,2020-04-20,83242.61
283,Stanley Haney,48,Male,Single,Asian,France,23,4,2015-10-31,101720.34
284,Christine Daniels,40,Female,Single,Black,Nigeria,34,6,2023-07-16,45243.69
285,Steven Marsh,34,Male,Divorced,Black,South Korea,1,1,2015-11-25,112660.67
286,Thomas Smith,37,Male,Divorced,Asian,United Kingdom,49,8,2024-07-15,30958.24
287,Brandon Duarte,48,Male,Married,Black,Nigeria,32,5,2020-10-27,66964.3
288,Jonathan Patton,56,Male,Prefer not to say,Mixed,South Korea,33,6,2023-12-13,81766.34
289,Michelle Flowers,46,Female,Prefer not to say,Mixed,United States,5,1,2018-03-25,75619.84
290,Alyssa King,50,Female,Single,Other,Australia,2,1,2021-11-23,57546.01
291,Alexis Burch,46,Female,Other,Mixed,Nigeria,37,6,2025-04-23,65837.55
292,Pamela George,46,Female,Single,Asian,India,8,2,2022-03-31,60139.98
293,Lisa Norman,44,Female,Single,Hispanic,New Zealand,45,7,2016-03-22,58212.7
294,Cory Bowman,48,Male,Widowed,Hispanic,Japan,16,3,2017-07-20,86992.04
295,Harry Roberts,40,Male,Other,Asian,Canada,26,5,2015-10-18,77140.31
296,Anita Kidd,31,Female,Single,Native American,France,50,8,2021-09-28,56141.81
297,Nathaniel Jenkins,53,Male,Married,Other,Australia,34,6,2023-12-27,87992.0
298,Tanya Castillo,30,Female,Married,White,India,47,8,2022-09-26,76145.99
299,Kimberly White,32,Female,Widowed,Black,South Korea,13,3,2016-09-21,86257.24
300,Phillip Johnson,52,Male,Separated,Other,Spain,12,2,2018-11-04,82592.58
301,Sherry Robertson,57,Female,Other,Mixed,Spain,44,7,2017-08-06,53420.1
302,Kayla Butler,41,Female,Married,Hispanic,United Kingdom,41,7,2024-11-30,58796.38
303,Grace Moody,40,Female,Prefer not to say,Asian,Spain,29,5,2024-06-28,84945.87
304,Kevin Taylor,53,Male,Single,Asian,Brazil,23,4,2021-12-05,82207.41
305,Valerie Perez,24,Female,Divorced,Other,Germany,3,1,2021-06-25,69581.97
306,Seth Ruiz,26,Male,Widowed,Native American,Japan,42,7,2022-12-19,72346.55
307,Bethany Grant,58,Female,Widowed,Other,Italy,30,5,2023-02-18,95553.3
308,Matthew Fletcher,57,Male,Other,Black,Australia,29,5,2019-03-20,58168.57
309,Jamie Clarke,30,Female,Single,Hispanic,United Kingdom,33,6,2021-07-28,80941.95
310,Natalie Brown,26,Female,Widowed,Mixed,India,46,8,2023-03-27,65956.15
311,Randall Ray,49,Male,Separated,Native American,Japan,16,3,2016-02-19,65646.38
312,Paul Cole,44,Male,Divorced,Hispanic,Nigeria,24,4,2019-05-02,91975.54
313,Daisy Jones,59,Female,Single,Other,France,44,7,2017-03-23,86508.33
314,Holly Miller,42,Female,Single,Native American,France,5,1,2016-01-18,86270.19
315,Elizabeth Ritter,37,Female,Other,Other,France,19,4,2017-06-24,96109.58
316,Donald Bond,26,Male,Widowed,Mixed,India,22,4,2018-07-25,70420.08
317,Kara Marsh,46,Female,Married,Native American,Italy,20,4,2017-01-03,83639.06
318,Brandon Tanner,56,Male,Separated,Mixed,South Korea,20,4,2023-03-09,63794.66
